"Suggested citation: CSIS IFI COVID-19 Response Tracker, CSIS Economics Program, Last Updated October 19, 2020",,,,,,,,,,,,,,,,,,,,,,,
"Note: CSIS methodology for estimating disbursements assumes full disbursement of emergency financing instruments as indicated by the financing institutions themselves. In the case of IMF and RFA lending, disbursements are based on press releases and correspond to actual disbursement schedules. However, disbursement schedules from other official sources, including many MDB operations, are often not included in public press announcements. For purposes of this dataset, we assume full disbursement of such operations, which likely results in an overestimation of MDB disbursements.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Institution,Date,Institution Type,Type,Guarantee?,Institutional Commitment ($M),Approved Value ($M),Disbursed Value ($M),Country/Recipient,Region,GDP per capita (nominal),GDP per capita (PPP),Income group,Sector,Green,Description,Link,,,,,,,
AfDB,7.24.2020,MDB,Covid,,,31.6,31.6,Uganda,Africa,776.7685759,2271.649424,Low income,General,,The Board of Directors of the African Development Fund today approved a $31.6 million COVID-19 Crisis Response Support Program (CRSP) to Uganda to support the governmentÕs response to the COVID-19 pandemic.,https://www.afdb.org/en/news-and-events/press-releases/uganda-african-development-fund-approves-316-million-loan-covid-19-response-37030,,,,,,,
AfDB,7.24.2020,MDB,Covid,,,25.1,25.1,Somalia,Africa,..,..,Low income,General,,The African Development Bank today approved grants worth $25.1 million to Somalia to bolster the national budget for government efforts to mitigate national and regional impacts of the COVID-19 pandemic.,https://www.afdb.org/en/news-and-events/press-releases/somalia-african-development-bank-grants-25-million-will-bolster-budget-covid-19-responses-37033,,,,,,,
AfDB,7.24.2020,MDB,Covid,,,14.28,14.28,Central African Republic,Africa,467.9074406,984.0280497,Low income,Health,,"The Board of Directors of the African Development Bank approved, Friday, July 24, in Abidjan, budgetary support of US $ 14.28 million to the Central African Republic to finance its Support Program in response to the Covid-19 pandemic (PABRC-RCA).
 
 The Bank's financial assistance consists of a grant of $ 6.12 million from the African Development Fund and another grant of $ 8.16 million from the Technical Assistance Fund.",https://www.afdb.org/en/news-and-events/press-releases/republique-centrafricaine-la-banque-africaine-de-developpement-accorde-plus-de-14-millions-de-dollars-pour-lutter-contre-le-covid-19-37031,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,54.6,54.6,Burkina Faso,Africa,774.8396902,2280.380037,Low income,General,,"The Board of Directors of the African Development Bank approved, Wednesday, July 22 in Abidjan, a budget support of 284.8 million US dollars to support the efforts of the G5 Sahel countries (Burkina Faso, Mali, Mauritania, Niger, Chad) in the implementation of their response plans to the Covid-19 pandemic and economic recovery.",https://www.afdb.org/en/news-and-events/press-releases/g5-sahel-la-banque-africaine-de-developpement-accorde-285-millions-de-dollars-pour-la-lutte-contre-la-pandemie-de-covid-19-36996,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,48.9,48.9,Mali,Africa,890.7372855,2423.828765,Low income,General,,"The Board of Directors of the African Development Bank approved, Wednesday, July 22 in Abidjan, a budget support of 284.8 million US dollars to support the efforts of the G5 Sahel countries (Burkina Faso, Mali, Mauritania, Niger, Chad) in the implementation of their response plans to the Covid-19 pandemic and economic recovery.",https://www.afdb.org/en/news-and-events/press-releases/g5-sahel-la-banque-africaine-de-developpement-accorde-285-millions-de-dollars-pour-la-lutte-contre-la-pandemie-de-covid-19-36996,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,10.2,10.2,Mauritania,Africa,1677.919253,5412.419162,Lower middle income,General,,"The Board of Directors of the African Development Bank approved, Wednesday, July 22 in Abidjan, a budget support of 284.8 million US dollars to support the efforts of the G5 Sahel countries (Burkina Faso, Mali, Mauritania, Niger, Chad) in the implementation of their response plans to the Covid-19 pandemic and economic recovery.",https://www.afdb.org/en/news-and-events/press-releases/g5-sahel-la-banque-africaine-de-developpement-accorde-285-millions-de-dollars-pour-la-lutte-contre-la-pandemie-de-covid-19-36996,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,108.8,108.8,Niger,Africa,554.6009687,1269.601399,Low income,General,,"The Board of Directors of the African Development Bank approved, Wednesday, July 22 in Abidjan, a budget support of 284.8 million US dollars to support the efforts of the G5 Sahel countries (Burkina Faso, Mali, Mauritania, Niger, Chad) in the implementation of their response plans to the Covid-19 pandemic and economic recovery.",https://www.afdb.org/en/news-and-events/press-releases/g5-sahel-la-banque-africaine-de-developpement-accorde-285-millions-de-dollars-pour-la-lutte-contre-la-pandemie-de-covid-19-36996,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,61.2,61.2,Chad,Africa,709.5403101,1645.094153,Low income,General,,"The Board of Directors of the African Development Bank approved, Wednesday, July 22 in Abidjan, a budget support of 284.8 million US dollars to support the efforts of the G5 Sahel countries (Burkina Faso, Mali, Mauritania, Niger, Chad) in the implementation of their response plans to the Covid-19 pandemic and economic recovery.",https://www.afdb.org/en/news-and-events/press-releases/g5-sahel-la-banque-africaine-de-developpement-accorde-285-millions-de-dollars-pour-la-lutte-contre-la-pandemie-de-covid-19-36996,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,45.2,45.2,Malawi,Africa,411.5523404,1103.643616,Low income,General,,"The Board of Directors of the African Development Fund (ADF) on Wednesday approved a UA100.4 million (about $138 million) crisis budget support package to four southern African countries Ð Malawi, Madagascar, Mozambique and S‹o TomŽ & Pr’ncipe, in the wake of the COVID-19 pandemic.",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-ua1004-million-multi-country-covid-19-response-support-malawi-madagascar-mozambique-and-sao-tome-36974,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,41.2,41.2,Madagascar,Africa,522.2198092,1714.447454,Low income,General,,"The Board of Directors of the African Development Fund (ADF) on Wednesday approved a UA100.4 million (about $138 million) crisis budget support package to four southern African countries Ð Malawi, Madagascar, Mozambique and S‹o TomŽ & Pr’ncipe, in the wake of the COVID-19 pandemic.",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-ua1004-million-multi-country-covid-19-response-support-malawi-madagascar-mozambique-and-sao-tome-36974,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,41.2,41.2,Mozambique,Africa,491.8047231,1333.518167,Low income,General,,"The Board of Directors of the African Development Fund (ADF) on Wednesday approved a UA100.4 million (about $138 million) crisis budget support package to four southern African countries Ð Malawi, Madagascar, Mozambique and S‹o TomŽ & Pr’ncipe, in the wake of the COVID-19 pandemic.",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-ua1004-million-multi-country-covid-19-response-support-malawi-madagascar-mozambique-and-sao-tome-36974,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,10.3,10.3,Sao Tome and Principe,Africa,1994.906467,4128.062159,Lower middle income,General,,"The Board of Directors of the African Development Fund (ADF) on Wednesday approved a UA100.4 million (about $138 million) crisis budget support package to four southern African countries Ð Malawi, Madagascar, Mozambique and S‹o TomŽ & Pr’ncipe, in the wake of the COVID-19 pandemic.",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-ua1004-million-multi-country-covid-19-response-support-malawi-madagascar-mozambique-and-sao-tome-36974,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,45.07,45.07,Malawi,Africa,411.5523404,1103.643616,Low income,General,,"Malawi will receive $45.07 million to finance the governmentÕs response to the health, social and economic impacts of the COVID-19 pandemic, following a decision by the Board of Directors of the African Development Fund (ADF) held Wednesday.",https://www.afdb.org/en/news-and-events/press-releases/malawi-receive-4507-million-national-covid-19-emergency-response-african-development-bank-36987,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,20,20,"Burkina Faso, Mali, Mauritania, Niger, Chad",Africa,#NV,#NV,#NV,General,,"Public health, the wellbeing of refugees and the host communities in the Sahel are at the heart of the latest tripartite agreement between the African Development Bank (AfDB), UNHCR, the UN Refugee Agency and the G5 Sahel signed today. The agreement enables a critical $20 million COVID-19 response across the five countries of the Sahel region.Financed by the African Development Fund, the project will allow the Governments of Burkina Faso, Chad, Mali, Mauritania and Niger Ð which make up the G5 Sahel regional cooperation and coordination framework Ð to strengthen their national capacity to stop the spread of COVID-19 and limit its social and economic impact in a region where the pandemic is causing an unprecedented emergency on top of multiple crises.",https://www.afdb.org/en/news-and-events/press-releases/financial-development-and-humanitarian-arms-provide-20-million-curb-impact-covid-19-refugees-and-their-hosts-sahel-36989,,,,,,,
AfDB,7.23.2020,MDB,Covid,,,1.04,1.04,Angola,Africa,2973.59116,6929.678158,Lower middle income,Health,,Funds from the African Development BankÕs ongoing Science and Technology Development Project have been committed towards two research projects to mitigate the novel coronavirus (COVID-19) in Angola.,https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-commits-104-million-towards-two-covid-19-research-projects-angola-36981,,,,,,,
AfDB,7.22.2020,MDB,Covid,,,288,288,South Africa,Africa,6001.400814,12999.12026,Upper middle income,General,,"The Board of Directors of the African Development Bank has approved a loan of approximately R5 billion ($288 million) to the government of South Africa, as the country battles one of the largest COVID-19 caseloads in the world.",https://www.afdb.org/en/news-and-events/press-releases/south-africa-african-development-bank-approves-first-ever-crisis-response-budget-support-r5-billion-fight-covid-19-36964,,,,,,,
AfDB,7.9.2020,MDB,Covid,,,0.48,0.48,Libya,Africa,7683.750611,15803.05638,Upper middle income,Health,,"The Board of Directors of the African Development Bank have approved a grant of $480,000 to Libya under the Special Relief Fund (SRF) for the procurement of much-needed personal protective equipment (PPE) intended for treatment of cases of infection of the novel Coronavirus.",https://www.afdb.org/en/news-and-events/press-releases/libya-african-development-bank-grants-05-million-emergency-relief-assistance-ppe-protection-against-covid-19-36792,,,,,,,
AfDB,7.3.2020,MDB,Covid,,,165.08,165.08,Ethiopia,Africa,857.501351,2311.704386,Low income,General,,"The Board of Directors of the African Development Fund (ADF) on 3 July approved a grant of $165.08 million to support EthiopiaÕs response to the health and economic impacts of the COVID-19 pandemic, including helping to ease fiscal pressures on the economy.",https://www.afdb.org/en/news-and-events/press-releases/ethiopia-african-development-fund-approves-165-million-grant-national-covid-19-emergency-response-36713,,,,,,,
AfDB,6.30.2020,MDB,Covid,,,9.52,9.52,"Burundi, Comoros, Djibouti, Eritrea, Ethiopia, Somalia, Kenya, Rwanda, South Sudan, Sudan, Tanzania and Uganda.",Africa,#NV,#NV,#NV,Health,,"The Board of Directors of the African Development Fund (ADF) have approved grants totaling $9.52 million to strengthen responses to the COVID-19 pandemic in East Africa and the Horn, and in the Comoros.
 
 The grant, approved on 26 June, is part of the $10 billion COVID-19 Rapid Response Facility (CRF) approved by the Board of Directors in April 2020 and complements the BankÕs direct support to regional member countries across the continent.",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-952-million-enhance-coordinated-covid-19-response-east-and-horn-africa-and-comoros-36627,,,,,,,
AfDB,6.26.2020,MDB,Covid,,,112.9,112.9,Gabon,Africa,7667.366861,15486.06832,Upper middle income,General,,"The Board of Directors of the African Development Bank has approved a 100.5 million euros loan to the government of Gabon as budget support to mitigate against the effects of the COVID-19 outbreak.
 
 The loan will support the central African nationÕs Budget Support Programme in Response to the COVID-19 Crisis or PABURC, which aims to strengthen the health system and mitigate the socio-economic impact of the pandemic on households and businesses.",https://www.afdb.org/en/news-and-events/press-releases/gabon-african-development-bank-approves-1005-million-euros-budget-support-covid-19-36564,,,,,,,
AfDB,6.25.2020,MDB,Covid,,,8.9,8.9,"Lesotho, Malawi, Madagascar, Mozambique, Zambia and Zimbabwe",Africa,#NV,#NV,#NV,Health,,The Board of Directors of the African Development Fund on Tuesday approved nearly $8.9 million in grant funding to bolster COVID-19-related control measures in six Southern African Development Community (SADC) countries.,https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-covid-19-response-grants-six-southern-african-countries-and-sao-tome-principe-36544,,,,,,,
AfDB,6.25.2020,MDB,Covid,,,0.683,0.693,Sao Tome and Principe,Africa,1994.906467,4128.062159,Lower middle income,Health,,"Separately, the Board approved $683,000 in grants to S‹o TomŽ & Pr’ncipe, to support the two-island nationÕs response to the pandemic and its impacts. The grant funding comes under the BankÕs COVID-19 Response Facility.",https://www.afdb.org/en/news-and-events/press-releases/african-development-fund-approves-covid-19-response-grants-six-southern-african-countries-and-sao-tome-principe-36544,,,,,,,
AfDB,6.23.2020,MDB,Covid,,,10,10,Seychelles,Africa,17401.72151,30259.96103,High income,General,,"The Board of Directors of the African Development Bank on Monday approved a $10 million loan to the Republic of Seychelles to support the governmentÕs COVID-19 response program. The loan will be channeled toward macroeconomic stabilization, strengthening national health responses to the COVID-19 pandemic, and safeguarding livelihoods and social safety nets.",https://www.afdb.org/en/news-and-events/press-releases/seychelles-african-development-bank-extends-10-million-loan-support-covid-19-responses-economy-reopens-36499,,,,,,,
AfDB,6.23.2020,MDB,Covid,,,98.89,98.89,Cameroon,Africa,1497.909176,3804.071711,Lower middle income,General,,"The Board of Directors of the African Development Bank on Monday approved a EUR 88 million loan to Cameroon as direct budget support to finance the countryÕs COVID-19 crisis response.
 
 The loan, to the countryÕs COVID-19 Crisis Response Budget Support Programme (PABRC), falls under the framework of the BankÕs COVID-19 Rapid Response Facility (CRF) of up to $10 billion, the institutionÕs main channel to cushion African countries from the economic and health impacts of the crisis.",https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-approves-eur-88-million-loan-cameroon-finance-covid-19-response-36496,,,,,,,
AfDB,6.23.2020,MDB,Covid,,,3,3,Togo,Africa,675.5422133,1662.072345,Low income,General,,The Board of Directors of the African Development Bank have approved the reallocation of $3 million in loan resources to help Togo purchase agricultural inputs to enhance food security in the wake of the COVID-19 pandemic.,https://www.afdb.org/en/news-and-events/press-releases/togo-african-development-bank-approves-3-million-loan-reallocation-agriculture-sector-covid-19-response-36497,,,,,,,
AfDB,6.17.2020,MDB,Covid,,,4.16,4.16,South Sudan,Africa,..,..,Low income,Health,,The Board of Directors of the African Development Bank on Wednesday approved a UA 3 million ($4.16 million) grant to South Sudan to support the emergency response to COVID-19 and strengthen the countryÕs fragile health system.,https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-approves-4-million-grant-bolster-south-sudans-covid-19-response-36236,,,,,,,
AfDB,6.10.2020,MDB,Covid,,,20,20,"Mauritania, Mali, Burkina Faso, Niger, and Chad",Africa,#NV,#NV,#NV,Health,,"The Board of Directors of the African Development Bank on 9 June 2020 approved $20 million in grant funding from the African Development Fund, to build capacity to curb and stop the spread of the COVID-19 pandemic in Mauritania, Mali, Burkina Faso, Niger, and Chad.",https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-approves-20-million-contain-spread-covid-19-g5-sahel-nations-36118,,,,,,,
AfDB,6.9.2020,MDB,Covid,,,84.9,84.9,Cote d'Ivoire,Africa,2286.162777,5455.360012,Lower middle income,General,,"The Board of Directors of the African Development Bank approved, Monday, June 8 in Abidjan, a loan of 75 million euros (or about 49.12 billion FCFA) in the form of budget support, in favor of the C™te d 'Ivoire to finance the response support program against COVID-19 (PARC). 
 
 The Bank's financial assistance, granted under the Covid-19 Pandemic Rapid Response Facility (CRF), will help control the spread of the virus but also strengthen the resilience of vulnerable populations, maintain the productive tool to revive the Ivorian economy after the crisis and preserve jobs.",https://www.afdb.org/en/news-and-events/press-releases/la-banque-africaine-de-developpement-mobilise-75-millions-deuros-pour-aider-la-cote-divoire-faire-face-la-pandemie-de-covid-19-36021,,,,,,,
AfDB,6.5.2020,MDB,Covid,,,288.5,288.5,Nigeria,Africa,2229.858696,5348.339797,Lower middle income,General,,"The Board of Directors of the African Development Fund (ADF) have approved grants totaling $9.52 million to strengthen responses to the COVID-19 pandemic in East Africa and the Horn, and in the Comoros.
 
 The grant, approved on 26 June, is part of the $10 billion COVID-19 Rapid Response Facility (CRF) approved by the Board of Directors in April 2020 and complements the BankÕs direct support to regional member countries across the continent.",https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-approves-2885-million-nigeria-covid-19-response-support-program-35993,,,,,,,
AfDB,6.3.2020,MDB,Covid,,,205.17,205.17,Tunisia,Africa,3317.541013,11201.34376,Lower middle income,General,,"The Board of Directors of the African Development Bank approved, Wednesday, June 3 in Abidjan, a loan of 180 million euros to Tunisia to finance the program to support the response to Covid-19 by the social inclusion and employment (PARISE).",https://www.afdb.org/en/news-and-events/press-releases/covid-19-la-banque-africaine-de-developpement-mobilise-180-millions-deuros-pour-soutenir-la-tunisie-dans-sa-reponse-la-crise-sanitaire-35897,,,,,,,
AfDB,6.3.2020,MDB,Covid,,,10.9,10.9,"Cameroon, Central African Republic, Congo, Equatorial Guinea",Africa,#NV,#NV,#NV,Health,,"The Board of Directors of the African Development Bank granted Abidjan on June 2, funding of US $ 13.55 million to support the fight against the Covid-19 pandemic within the Economic and Monetary Community Central Africa (CEMAC) and the Democratic Republic of Congo (DRC).",https://www.afdb.org/en/news-and-events/press-releases/covid-19-la-banque-africaine-de-developpement-mobilise-plus-de-13-millions-de-dollars-pour-soutenir-la-zone-cemac-et-la-rd-congo-35899,,,,,,,
AfDB,6.3.2020,MDB,Covid,,,1.5,1.5,Chad,Africa,709.5403101,1645.094153,Low income,Health,,"The Board of Directors of the African Development Bank granted Abidjan on June 2, funding of US $ 13.55 million to support the fight against the Covid-19 pandemic within the Economic and Monetary Community Central Africa (CEMAC) and the Democratic Republic of Congo (DRC).",https://www.afdb.org/en/news-and-events/press-releases/covid-19-la-banque-africaine-de-developpement-mobilise-plus-de-13-millions-de-dollars-pour-soutenir-la-zone-cemac-et-la-rd-congo-35899,,,,,,,
AfDB,6.3.2020,MDB,Covid,,,1.2,1.2,Democratic Republic of the Congo,Africa,545.2162123,1143.453225,Low income,Health,,"The Board of Directors of the African Development Bank granted Abidjan on June 2, funding of US $ 13.55 million to support the fight against the Covid-19 pandemic within the Economic and Monetary Community Central Africa (CEMAC) and the Democratic Republic of Congo (DRC).",https://www.afdb.org/en/news-and-events/press-releases/covid-19-la-banque-africaine-de-developpement-mobilise-plus-de-13-millions-de-dollars-pour-soutenir-la-zone-cemac-et-la-rd-congo-35899,,,,,,,
AfDB,5.30.2020,MDB,Covid,,,100.3068,100.3068,Senegal,Africa,1446.830965,3535.568779,Lower middle income,General,,"The Board of Directors of the African Development Bank on Friday approved a loan of 88 million euros to Senegal, hit hard by the novel coronavirus pandemic, in support of the costs of its national COVID-19 Economic and Social Resilience Program.
 
 The financing, which falls under the BankÕs COVID-19 Rapid Response Facility, will provide the nation with an emergency budget support program (PUARC) aiming to address the health, social and economic impacts of the crisis.",https://www.afdb.org/en/news-and-events/press-releases/senegal-afdb-approves-88-million-euros-emergency-budget-support-covid-19-response-35864,,,,,,,
AfDB,5.29.2020,MDB,Covid,,,22.4,22.4,"Gambia, Mali and Niger",Africa,#NV,#NV,Low income,Health,,"The Bank is making $22.4 million available for the project, approved by the Board on May 22. Part of the funding, $9.55 million, will provide screening tests, laboratory equipment, ventilators and personal protective equipment for medical personnel in the three countries. The remaining $12.83 million will be used to strengthen and integrate the health systems of Gambia, Mali and Niger to better address the pandemic.",https://www.afdb.org/en/news-and-events/press-releases/covid-19-african-development-bank-mobilizes-22-million-low-income-ecowas-countries-35901,,,,,,,
AfDB,5.27.2020,MDB,Covid,,,300,300,Morocco,Africa,3204.095003,7826.167677,Lower middle income,General,,"The Board of Directors of the African Development Bank approved, Wednesday, May 27 in Abidjan, financing of 264 million euros for Morocco as part of its program to support the response of Covid-19 (PARC -19). With rapid deployment of resources, PARC-19 contributes to the Kingdom's response efforts to the health, economic and social crisis triggered by the Covid-19 epidemic.",https://www.afdb.org/en/news-and-events/press-releases/la-banque-africaine-de-developpement-mobilise-264-millions-deuros-pour-soutenir-le-maroc-dans-sa-reponse-la-pandemie-de-covid-19-35831,,,,,,,
AfDB,5.27.2020,MDB,Covid,,,0.5,0.5,Egypt,Africa,3020.03135,12250.78041,Lower middle income,General,,"The Board of Directors of the African Development Bank on 25 May, 2020 approved a $500,000 emergency assistance grant to Egypt to provide food relief, and to contribute to restoring the livelihoods of vulnerable populations severely affected by COVID 19.",https://www.afdb.org/en/news-and-events/press-releases/egypt-african-development-bank-approves-emergency-relief-aid-tackle-food-insecurity-vulnerable-workers-whose-livelihoods-are-impacted-covid-19-35832,,,,,,,
AfDB,5.26.2020,MDB,Covid,,,33.3,33.3,Cabo Verde,Africa,3603.781794,7469.075579,Lower middle income,General,,The Board of Directors of the African Development Bank has extended a loan of Û30 million to Cabo Verde to help the West African island nation fight the COVID-19 outbreak and mitigate its economic impacts.,https://www.afdb.org/en/news-and-events/press-releases/cabo-verde-african-development-bank-group-approves-30-million-euros-loan-fight-covid-19-35840,,,,,,,
AfDB,5.22.2020,MDB,Covid,,,209,209,Mauritius,Africa,11203.54058,23942.13241,High income,General,,"The African Development Bank has approved a Û188 mllion euro loan to the Republic of Mauritius to finance a national budget support programme to respond to the COVID-19 pandemic, the GroupÕs Board of Directors said Friday. he main aim of the Covid-19 Rapid Response Facility (CRF), established by the Mauritian Government, is to support the national response fighting the ongoing outbreak, and to mitigate the adverse economic and social effects of the disease.",https://www.afdb.org/en/news-and-events/press-releases/mauritius-african-development-bank-lends-eu188-million-covid-19-fight-35743,,,,,,,
